Product Name,Price,Country
"3.5mm Headphone Jack",0.50,"Japan / China"
"3d Camera",8.00,"Global"
"Abrasive Particles",8.00,"Global"
"Abs Resin",8.00,"Global"
"AC Adapter",8.00,"Taiwan"
"AC Power Cable",8.00,"China / Mexico / Vietnam"
"AC-DC Converter",18.00,"Taiwan"
"Academic Papers",35.00,"Various"
"Acid Leaching Process",35.00,"Global"
"Acid Resistant Tank",6.00,"Global"
"Acoustic Damping",8.00,"Global"
"Acoustic Testing Training",8.00,"Global"
"Acrylic Polymer",4.00,"France"
"Acrylic Pressure-Sensitive Adhesive",3.00,"United States"
"Adapter Enclosure",1.80,"China"
"Adc Array",2.50,"Taiwan"
"Adc Dac Circuits",8.00,"Global"
"Adhesive Dispenser",8.00,"Global"
"Adhesive Filler",8.00,"Global"
"Adhesive Layer",8.00,"Global"
"Adhesive Training",0.00,"Global"
"Ahu System",45.00,"Global"
"AI Researchers",0.00,"United States"
"Air Classifier",35.00,"Global"
"Air Filter",15.00,"USA"
"Air Handling Unit",40.00,"United States"
"Air Locks",8.00,"Global"
"Air Separation Unit",8.00,"Global"
"Air Shower",8.00,"Global"
"Alerting Service",5000.00,"United States"
"Alignment Ring",35.00,"Global"
"Alignment Stage",8.00,"Global"
"Alumina Catalyst",4.50,"Global"
"Alumina Production",0.00,"Global"
"Alumina Substrate",4.00,"Global"
"Aluminum Alloy Element",8.00,"Global"
"Aluminum Billet",12.00,"United States"
"Aluminum Chamber",8.00,"Global"
"Aluminum Chassis",80.00,"Taiwan / China"
"Aluminum Enclosure",8.00,"Global"
"Aluminum Extrusion",35.00,"Global"
"Aluminum Foil",3.50,"United States"
"Aluminum Heat Sink",3.50,"United States"
"Aluminum Ingot",12.00,"Global"
"Aluminum Metal",10.00,"USA / UK / Russia"
"Aluminum Oxide (Al₂O₃)",0.80,"USA / Australia / China"
"Aluminum Pouch Material",2.00,"Japan"
"Aluminum Powder",4.50,"Global"
"Aluminum Power Conductor",4.50,"USA/France"
"Aluminum Sheet",8.00,"Global"
"Ambient Light Sensor",0.80,"Austria"
"Amine Curing Agent",5.00,"United States"
"Ammonia (NH₃)",0.40,"Norway / USA / Canada / Germany"
"Ammonium Hydroxide (NH₄OH)",1.00,"Norway / USA / Canada"
"Ammonium Nitrate Explosive",800.00,"Australia/USA"
"Amplifier Design",8.00,"Global"
"Analog ASIC",4.00,"United States"
"Analog Circuits",8.00,"Global"
"ANFO Explosives",0.75,"South Africa"
"Annealing Furnace",80.00,"Global"
"Anodizing",35.00,"Global"
"Anodizing Dye",0.15,"Switzerland"
"Anodizing Rack",8.00,"Global"
"Anodizing Tank System",3.00,"United Kingdom"
"Antenna RF Cable (Coaxial)",3.00,"USA / Singapore / Japan"
"Anti Wear Additives",8.00,"Global"
"Aoi System",45.00,"Global"
"API Gateway Service",50000.00,"Global"
"Apt Production",0.00,"Global"
"Arc Furnace",450.00,"Global"
"Argon Gas (Ar)",0.80,"USA / Germany / France"
"Arm Core",2.50,"Taiwan"
"Arm Cpu Core",8.00,"Global"
"Arsenic Dopant",1.00,"USA"
"Arsenic Element",8.00,"Global"
"Ash3 Gas",15.00,"Global"
"Assay Lab",35.00,"Global"
"Assembly Automation System",100.00,"Japan"
"Assembly Line Conveyor",15.00,"Germany"
"Assembly Tools",450000.00,"Netherlands / Japan"
"Assembly Training",0.00,"Global"
"Atmosphere Gas",15.00,"Global"
"Atmospheric Air",8.00,"Global"
"Atomizer",35.00,"Global"
"Audio Codec Chip",2.50,"United States"
"Audio DAC Chip",3.50,"United States"
"Authentication Service",20000.00,"United States"
"Authentication Systems",15000.00,"United States"
"Automated Cable Assembly",250000.00,"China"
"Automated Handling Systems",12.00,"USA / Japan"
"Automated Optical Inspection",3.00,"South Korea"
"Automated Packaging System",45.00,"Germany"
"Automated Polishing Equipment",4.50,"United States"
"Automated Screw Driving System",8.00,"Germany"
"Automated Test Equipment",80.00,"United States"
"AWS Bedrock API",15.00,"United States"
"B2h6 Gas",15.00,"Global"
"Backup Generator",25000.00,"United States"
"Backup Generators",250000.00,"United States"
"Backup System",15000.00,"United States"
"Ball Mill",890.00,"Denmark"
"Barium Titanate",8.00,"Global"
"Barrier Film",35.00,"Global"
"Base Oil",8.00,"Global"
"Base Station",50000.00,"Sweden"
"Bastnäsite Mining (Rare Earth Ore)",1.85,"United States"
"Battery Assembly Line",12.00,"Japan"
"Battery Management System",15.00,"United States"
"Battery Manufacturing Technicians",1.80,"China"
"Battery Monitor Ic",8.00,"Global"
"Battery Separator Membrane",4.00,"Japan"
"Battery Testing",8.00,"Global"
"Bauxite Mining",8.00,"Global"
"Bauxite Ore",0.45,"Australia"
"Bcd Process",0.00,"Global"
"Belt Conveyor",45.00,"Germany"
"Belt Conveyor System",85.00,"Germany"
"Bench Power Supply",3.00,"China"
"Bf3 Gas",15.00,"Global"
"BGA Solder Balls",1.00,"Japan / USA / USA"
"BGP Anycast Network",100000.00,"Global"
"BGP Router",250000.00,"USA / China"
"Bicmos Process",8.00,"Global"
"Binding Materials",0.15,"China"
"Biocides",8.00,"Global"
"Black Matrix",8.00,"Global"
"Bond Wire",8.00,"Global"
"Bonding Capillary",8.00,"Global"
"Boron Dopant",1.00,"USA"
"Boron Powder",8.00,"Global"
"Box Cutting Die",3.00,"United States"
"Bpa Chemical",8.00,"Global"
"Brass Alloy",4.00,"Germany"
"Brass Billet",12.00,"Global"
"Brass Connector Pins",0.30,"Taiwan"
"Brass Extrusion",5.00,"Germany"
"Brass Strip",8.00,"Global"
"Bright Annealing",8.00,"Global"
"Browser Engine Technology",0.00,"USA"
"Brushless DC Motor",4.00,"Japan"
"Bucket Dredge",580.00,"Netherlands"
"Bucket Trucks (Service Vehicles)",185.00,"United States"
"Build and Compilation Tools",0.00,"Global"
"Build Server Infrastructure",8.00,"United States"
"Building Rental",150.00,"Global"
"Bulldozer",285.00,"United States"
"Burn-In Test Chamber",40.00,"United States"
"Butadiene Monomer",8.00,"Global"
"Butterfly Mechanism Switches",0.80,"United States"
"C Programming Language",0.00,"USA"
"C++ Compiler",0.00,"United States"
"C++ Language Development",0.00,"Global"
"Cable Assembly",35.00,"Global"
"Cable Assembly Machine",3.50,"Switzerland"
"Cable Modem",120.00,"United States, China"
"Cable Ship",200000000.00,"United States"
"Calcination Furnace",80.00,"Global"
"Calcination Process",18.00,"Denmark"
"Calibration Standards",8.00,"Global"
"Camera Lens Assembly",3.50,"Taiwan"
"Camera Module Assembly",8.00,"South Korea"
"Camera Module PCB",0.80,"Taiwan"
"Capacitive Array",2.50,"Taiwan"
"Capacitive Touch Sensor",3.00,"United States"
"Capstan Puller",8.00,"Global"
"Carbide Cutting Tools",12.00,"Sweden"
"Carbon Anodes",8.00,"Global"
"Carbon Black",2.00,"United States"
"Carbon Coating",8.00,"Global"
"Carbon Filter",8.00,"Global"
"Cardboard Box",2.50,"USA / Europe / China"
"Carrier Grease",8.00,"Global"
"Cassiterite Ore (SnO₂)",0.15,"Indonesia / Myanmar / China"
"Caustic Soda (NaOH)",0.35,"USA / USA / Taiwan"
"Cell Antenna",3000.00,"United States"
"Cell Design",35.00,"Global"
"Cellular Tower",250000.00,"United States"
"Centrifugal Compressor",8.00,"Global"
"Ceramic Coating",8.00,"Global"
"Ceramic Filler Particles",8.00,"Japan"
"Ceramic Package",8.00,"Global"
"Ceramic Slurry",8.00,"Global"
"Charging Coil",35.00,"Global"
"Chemical Additives",2.50,"Taiwan"
"Chemical Distillation",35.00,"Global"
"Chemical Etchants",8.00,"Germany / USA / Japan"
"Chemical Extraction Process",45.00,"Germany"
"Chemical Mixer",8.00,"Global"
"Chemical Processing Facility",850.00,"Global"
"Chemical Reactor",80.00,"Global"
"Chemical Safety",2.50,"Taiwan"
"Chemical Tanks",8.00,"Global"
"Chemical Workers",8.00,"Global"
"Chemically Strengthened Glass",5.00,"United States"
"Chiller System",45.00,"Global"
"Chip Design Engineers",50.00,"USA / Global"
"Chip Design Files",100.00,"United States"
"Chip Packaging Materials",5.00,"Taiwan / USA / China"
"Chiral Dopants",8.00,"Global"
"Chlorine Gas (Cl₂)",0.25,"USA / USA / Taiwan"
"Chlorine Production",0.35,"United States"
"Chromite Ore",0.25,"South Africa"
"Chromium Metal",15000.00,"South Africa"
"CI/CD Pipeline Systems",5.00,"United States"
"Cil Process",35.00,"Global"
"Circuit Simulation",35.00,"Global"
"Clamping Unit",8.00,"Global"
"Class 10000 Cleanroom",80.00,"Ireland"
"Classification",2.50,"Taiwan"
"Claude AI Model",0.00,"United States"
"Claude Code",20.00,"United States"
"Claus Process Equipment",25.00,"Germany"
"Clean Led Lights",8.00,"Global"
"Cleanroom Facility",80.00,"Various"
"Cleanroom Panels",8.00,"Global"
"Cleanroom Training",0.00,"Global"
"CLI Software (Command-Line Interface)",0.00,"United States"
"Cmos Backplane",35.00,"Global"
"CMOS Image Sensor",8.50,"Japan"
"CMP Equipment (Chemical Mechanical Polishing)",8.00,"USA / Japan"
"Cnc Controller",8.00,"Global"
"Cnc Machining",35.00,"Global"
"CNC Machining Center",8.00,"Japan"
"CNC Machinist Training",1.50,"United States"
"Cnc Programming",8.00,"Global"
"Co2 Laser",8.00,"Global"
"Coal",0.08,"China / USA / Switzerland"
"Coal Mining",0.08,"China / USA / Australia"
"Coating",8.00,"Global"
"Coating Head",8.00,"Global"
"Cobalt Binder",8.00,"Global"
"Cobalt Metal",15.00,"Switzerland / China / Canada"
"Cobalt Sulfate",8.00,"Global"
"Code Repositories",0.01,"United States"
"Cof Packaging",8.00,"Global"
"Coil Adhesive",8.00,"Global"
"Coil Former",8.00,"Global"
"Coil Winding Machine",45.00,"Global"
"Coin Battery",35.00,"Global"
"Cold Heading Press",250.00,"United States"
"Cold Rolling",8.00,"Global"
"Colloidal Silica",8.00,"Global"
"Color Resist",8.00,"Global"
"Compiler Design and Implementation",0.00,"Global"
"Compiler Development",25.00,"United States"
"Compiler Tools",25.00,"United States"
"Compressed Air System",20.00,"Sweden"
"Compression Springs",8.00,"Global"
"Computer Hardware Systems",1200.00,"USA/China"
"Computer Science Degree",200000.00,"USA"
"Computer Science Education",50000.00,"Global"
"Computer Testing Equipment",280000.00,"USA / Japan"
"Computing Resources",100000.00,"United States"
"Concentrator Equipment",120.00,"Global"
"Concrete Base",20000.00,"United States"
"Connector Assembly",0.90,"Taiwan"
"Connector Assembly Labor",1.50,"Japan"
"Connector Housing",8.00,"Global"
"Connector Insulator",35.00,"Global"
"Connector PCB",0.40,"Taiwan"
"Contact Pins",8.00,"Global"
"Continuous Miner",485.00,"United States"
"Coolant System",45.00,"Global"
"Cooling Fan",10.00,"Japan / Taiwan"
"Cooling Fan Assembly",4.00,"Japan"
"Cooling Trough",8.00,"Global"
"Copper Catalyst",4.50,"Global"
"Copper Clad Laminate",8.00,"Global"
"Copper Concentrate",2.50,"Chile / USA / Australia"
"Copper Conductor",20.00,"France"
"Copper Conductors",35.00,"Global"
"Copper Metal",10.00,"USA / Chile / Switzerland"
"Copper Ore",0.35,"Chile"
"Copper Powder",12.00,"Germany"
"Copper Rod",8.00,"Global"
"Copper Sulfate",8.00,"Global"
"Copper Tube",6.00,"United States"
"Copper Wire Raw",35.00,"Global"
"Copper-Cobalt Ore",0.42,"Democratic Republic of Congo"
"Core Material",8.00,"Global"
"Corrosion Inhibitors",8.00,"Global"
"Corrugating Medium",1.20,"United States"
"Cotton Fabric",8.00,"Global"
"Cover Glass",35.00,"Global"
"Coverlay Film",4.00,"Global"
"Crimping Press",8.00,"Global"
"Crosshead Die",8.00,"Global"
"Crude Distillation Tower",8.00,"Global"
"Crude Oil (Petroleum)",0.60,"Saudi Arabia / USA / Netherlands"
"Crude Storage",35.00,"Global"
"Crushing Equipment",220.00,"Sweden"
"Cryogenic Distillation",125.00,"Germany"
"Cryogenic Tank",8.00,"Global"
"Crypto Engine",35.00,"Global"
"Crystal Furnace",80.00,"Global"
"Crystal Grower",35.00,"Global"
"Crystal Oscillator",35.00,"Global"
"CSS (Cascading Style Sheets)",0.00,"International"
"CUDA Libraries",0.00,"United States"
"Curing Agent",35.00,"Global"
"Cutting Equipment",120.00,"Global"
"CVD Machine (Chemical Vapor Deposition)",10.00,"USA / Japan"
"Cvd Precursors",8.00,"Global"
"Cvd System",45.00,"Global"
"Cyanobiphenyl",8.00,"Global"
"Cylindrical Grinder",8.00,"Global"
"Dac Circuits",8.00,"Global"
"Dac Core",2.50,"Taiwan"
"Data Acquisition System",6.00,"United States"
"Data Center",500.00,"USA / Global"
"Data Center Cooling System",450000.00,"France"
"Database Management Systems",50000.00,"USA"
"Database Server",100000.00,"Global"
"Database Software",10000.00,"United States"
"Datacenter Infrastructure",500000.00,"United States"
"Dc Rectifier",8.00,"Global"
"DDoS Mitigation Service",50000.00,"USA"
"DDR5 Memory",150.00,"South Korea"
"Defect Classification",8.00,"Global"
"Dehumidified Dry Room",8.00,"Sweden"
"Deionized Water System",5.00,"France"
"Desiccant Dehumidifier",8.00,"Global"
"Development Computer",25.00,"United States"
"Development Tools",250.00,"United States"
"Diamond Blade",8.00,"Global"
"Diamond Dicing Saw",1.80,"Japan"
"Diamond Die",8.00,"Global"
"Diamond Wire",8.00,"Global"
"Die Attach Adhesive",0.80,"Germany"
"Die Attach Adhesive",0.30,"Germany / USA / Japan"
"Die Attach Equipment",1.50,"Singapore"
"Die Casting Machine",45.00,"Global"
"Die Cutting Equipment",40.00,"Switzerland"
"Die Ejector",8.00,"Global"
"Diesel Fuel",0.85,"USA / Netherlands / UK"
"Diesel Fuel",1.20,"Global"
"Diffuser Film",4.00,"Global"
"Diffuser Films",35.00,"Global"
"Digester Tanks",35.00,"Global"
"Digital Books",15.00,"Various"
"Digital Display",8.00,"Global"
"Digital Multimeter",8.00,"Global"
"Dimensionally Stable Anode",35.00,"Global"
"Dimethyl Carbonate",8.00,"Global"
"Dimming Driver",35.00,"Global"
"Directional Drilling",35.00,"Global"
"Dispersing Agent",8.00,"Global"
"Display Cable (DisplayPort/HDMI)",12.00,"China / USA / Japan"
"Display Driver IC",15.00,"Taiwan"
"Display Glass Substrate",12.00,"United States"
"Display Manufacturing Technicians",2.20,"South Korea"
"Display Panel (LCD/OLED)",150.00,"South Korea / China"
"Display Photolithography Equipment",18.00,"Japan"
"Displayport Mux",8.00,"Global"
"Distillation Equipment",95.00,"Switzerland"
"DNS Server",8000.00,"United States"
"DOCSIS Chip",15.00,"United States"
"Domain Management System",15.00,"USA"
"Domain Name Registration",12.00,"Various"
"Dome Die",8.00,"Global"
"Dome Fabric",8.00,"Global"
"Double-Sided Adhesive Tape",2.00,"USA / Japan / Germany"
"Dragline Excavation",15.00,"United States"
"Dragline Mining",12.00,"Global"
"Dram Buffer",8.00,"Global"
"DRAM Memory Chip",3.50,"South Korea"
"DRAM Module",45.00,"South Korea"
"Drawing Dies",8.00,"Global"
"Drawing Lubricant",8.00,"Global"
"Drill and Blast Operations",8.50,"Sweden"
"Dry Film Resist",35.00,"Global"
"Dry Room Protocols",8.00,"Global"
"Drying Oven",8.00,"Global"
"Dsp Core",8.00,"Global"
"Dual Cartridge Packaging",1.50,"Switzerland"
"Dwight Lloyd Sinter",35.00,"Global"
"Dye Solvent",6.00,"Global"
"Ecc Engine",8.00,"Global"
"ECC Memory",120.00,"South Korea"
"EDA Software (Electronic Design Automation)",30.00,"USA"
"Electric Arc Furnace",450.00,"Global"
"Electrical Distribution System",60.00,"France"
"Electrical Engineering Degree",2.50,"Taiwan"
"Electrical Linemen",2.50,"Taiwan"
"Electrical Power Generation",0.12,"USA"
"Electrical Safety Tester",8.00,"Taiwan"
"Electrical Steel Laminations",3.20,"USA/Japan"
"Electricity",0.12,"USA / USA / France"
"Electrochemistry Training",0.00,"Global"
"Electrode Stacking",8.00,"Global"
"Electrolyte Additives",8.00,"Global"
"Electrolyte Filling",8.00,"Global"
"Electrolytic Cobalt",2.50,"Taiwan"
"Electrolytic Copper Foil",8.00,"Japan"
"Electrolytic Recovery",2.50,"Taiwan"
"Electrolytic Refining",35.00,"Global"
"Electron Beam Lithography",8.00,"Global"
"Electronic Test Gear",8.00,"Global"
"Electronic Test Instruments",15.00,"United States"
"Electronics Assembly Labor",3.00,"China"
"Electronics Assembly Labor",220.00,"China / Taiwan"
"Electronics Factory",800000.00,"China / Taiwan / South Korea"
"Electroplating Chemistry",8.00,"Global"
"Electroplating Equipment",120.00,"Global"
"Electrorefining Cell",8.00,"Global"
"Electrostatic Chuck",8.00,"Global"
"Elemental Sulfur",0.15,"Russia / Saudi Arabia / Netherlands"
"Elemental Sulfur",0.15,"Saudi Arabia"
"Emulation Hardware",35.00,"Global"
"Emulsifiers",8.00,"Global"
"Enameled Copper Motor Wire",6.00,"Japan"
"Encryption Technology",12000.00,"France"
"Engineer Compensation Package",180000.00,"USA"
"Engineering Design Services",500000.00,"USA"
"Engineering Internship Programs",25000.00,"USA"
"Engineering Workstation",35.00,"Global"
"Enriched Uranium",5000.00,"France"
"Enterprise Data Storage Systems",250000.00,"USA"
"Enterprise Router",8000.00,"United States"
"Enterprise Router Hardware",25000.00,"USA"
"Environmental Test Chamber",25.00,"Japan"
"Epichlorohydrin",8.00,"Global"
"Epoxy Hardener",8.00,"Global"
"Epoxy Molding",8.00,"Global"
"Epoxy Molding Compound",1.50,"Japan / Germany"
"Epoxy Molding Compound",0.15,"Japan"
"Epoxy Resin",0.40,"USA / Belgium / Switzerland"
"Equipment Operation",45.00,"Global"
"Esd Additives",8.00,"Global"
"Etchant Chemistry",8.00,"Global"
"Ethernet PHY Chip",4.00,"United States"
"Ethernet Switch",2500.00,"United States, China"
"Ethyl Methyl Carbonate",8.00,"Global"
"Ethylene Carbonate",8.00,"Global"
"Ethylene Gas",15.00,"Global"
"EUV Lithography Machine",15.00,"Netherlands"
"Euv Source",8.00,"Global"
"Excavation",35.00,"Global"
"Expansion Turbine",8.00,"Global"
"Exposure System",45.00,"Global"
"Extrusion Die",8.00,"Global"
"Extrusion Press",8.00,"Global"
"F-Connector",0.50,"United States"
"Fab Automation",8.00,"Global"
"Fab Technicians",8.00,"Global"
"Fab Training",0.00,"Global"
"Factory Automation Software",20.00,"Germany"
"Factory Production Workers",3.00,"China"
"Fan Controller IC",1.00,"United States"
"Fan Housing",0.60,"Taiwan"
"Fan Impeller",35.00,"Global"
"Fastener Testing",3.00,"United States"
"Fasteners",8.00,"Global"
"Fastly Cdn",35.00,"Global"
"Ferrite Core",8.00,"Global"
"Ferrite Shield",35.00,"Global"
"Ffc Adhesive",35.00,"Global"
"Ffc Connectors",35.00,"Global"
"Fiber Cable",2.00,"United States"
"Fiber Optic Cable",25.00,"USA / Italy / Japan"
"Fiber Optic Connector",8.00,"United States"
"Fiber Polishing Machine",50000.00,"Japan"
